"Ghana, WHOLESALE, Tamale, Maize, USD/Kg","Ghana, WHOLESALE, Kumasi, Maize, USD/Kg","Ghana, WHOLESALE, Bolgatanga, Maize, USD/Kg","Ghana, WHOLESALE, Accra, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/tonne","Kenya, WHOLESALE, Eldoret, Maize, USD/tonne","Rwanda, WHOLESALE, Kigali, Maize, USD/tonne","Rwanda, WHOLESALE, Ruhengeri, Maize, USD/tonne","Uganda, WHOLESALE, Masindi, Maize, USD/tonne","Uganda, WHOLESALE, Lira, Maize, USD/tonne","Uganda, WHOLESALE, Kampala, Maize, USD/tonne"
0.2453,0.394,0.2596,0.394,0.3345,0.34441,0.33823,0.34624,0.33117,0.37252,0.26949,0.26186,0.26331,0.3835
0.298,0.3716,0.2499,0.3824,0.33823,0.34624,0.33422,0.33841,0.36848,0.42193,0.34284,0.3823,0.2954,0.32351
0.2417,0.3732,0.269,0.452,0.33422,0.33841,0.32955,0.34893,0.36215,,0.24885,0.34958,0.38674,0.33334
0.2754,0.364,0.2669,0.3895,0.32955,0.34893,0.37535,0.36949,0.3759,0.4384,0.2889,0.3484,0.3626,0.352
0.2854,0.352,0.2766,0.436,0.37535,0.36949,0.36759,0.34925,0.35531,,0.2427,0.3572,0.32258,0.29675
0.2452,0.3652,0.2681,0.435,0.36759,0.34925,0.32393,0.32291,0.32469,0.362,0.26496,0.25193,0.2657,0.2618
0.2458,0.497,0.2688,0.42,0.32393,0.32291,0.32891,0.3226,0.36292,,0.23783,0.2543,0.268,0.2719
0.2553,0.3747,0.2823,0.3978,0.32891,0.3226,,0.34233,0.49751,0.49721,0.22375,0.2327,0.25323,0.32829
0.2314,0.3985,0.2558,0.4178,,0.34233,0.3518,0.37656,0.4417,0.39965,0.2835,0.2534,0.25562,0.33785
0.2421,0.4361,0.2864,0.4283,0.3518,0.37656,0.3492,0.35456,0.38533,0.31733,0.3415,0.3945,0.399,0.3625
